"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-11-03";"TAM";"@";"SEA";"L 34-40";"Matt Gay";50;0;"no";"Regular Season";"no";"open";"turf"
"2019-12-08";"IND";"@";"TAM";"L 35-38";"Chase McLaughlin";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"DAL";"@";"NYJ";"L 22-24";"Brett Maher";50;1;"no";"Regular Season";"no";"open";"turf"
"2019-12-29";"PHI";"@";"NYG";"W 34-17";"Jake Elliott";50;1;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"MIA";"";"LAC";"L 10-30";"Jason Sanders";50;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"ATL";"";"CAR";"W 40-20";"Younghoe Koo";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-24";"MIN";"";"WAS";"W 19-9";"Dan Bailey";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-10-27";"KAN";"";"GNB";"L 24-31";"Harrison Butker";50;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"TEN";"";"BUF";"L 7-14";"Cairo Santos";50;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"HOU";"";"ATL";"W 53-32";"Ka'imi Fairbairn";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-24";"JAX";"@";"TEN";"L 20-42";"Josh Lambo";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"LAC";"@";"TEN";"L 20-23";"Chase McLaughlin";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-08";"MIN";"";"DET";"W 20-7";"Dan Bailey";50;1;"no";"Regular Season";"no";"dome";"turf"
"2019-12-01";"KAN";"";"OAK";"W 40-9";"Harrison Butker";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"IND";"@";"JAX";"L 20-38";"Chase McLaughlin";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-10-13";"KAN";"";"HOU";"L 24-31";"Harrison Butker";50;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"ATL";"";"PHI";"W 24-20";"Matt Bryant";50;0;"no";"Regular Season";"no";"dome";"turf"
"2019-11-14";"CLE";"";"PIT";"W 21-7";"Austin Seibert";50;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-21";"TAM";"";"HOU";"L 20-23";"Matt Gay";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-22";"MIN";"";"OAK";"W 34-14";"Dan Bailey";50;1;"no";"Regular Season";"no";"dome";"turf"
"2020-01-12";"SEA";"@";"GNB";"L 23-28";"Jason Myers";50;0;"no";"Playoffs";"no";"open";"grass"
"2019-11-28";"BUF";"@";"DAL";"W 26-15";"Stephen Hauschka";50;0;"no";"Regular Season";"no";"dome";"turf"
"2019-11-10";"CAR";"@";"GNB";"L 16-24";"Joey Slye";50;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-01";"BAL";"";"SFO";"W 20-17";"Justin Tucker";49;1;"no";"Regular Season";"no";"open";"grass"
