"Rank","Player","Pos","Tm","G","FG"
395,"Juan Toscano-Anderson","SF","GSW",13,29
396,"Nicolas Batum","SF","CHO",22,28
397,"Caleb Swanigan","PF","TOT",27,28
398,"Nicolas Claxton","PF","BRK",15,27
399,"Mychal Mulder","SG","GSW",7,26
400,"Al-Farouq Aminu","PF","ORL",18,25
401,"Andre Iguodala","SG","MIA",14,25
402,"Evan Turner","PG","ATL",19,25
403,"Romeo Langford","SG","BOS",27,24
404,"Garrison Mathews","SG","WAS",18,24
405,"John Konchar","SG","MEM",15,23
406,"Ryan Broekhoff","SG","DAL",17,22
407,"Terance Mann","SG","LAC",35,22
408,"DeMarre Carroll","SF","TOT",21,21
409,"Drew Eubanks","PF","SAS",14,21
410,"Iman Shumpert","SG","BRK",13,21
411,"Jared Dudley","SF","LAL",40,20
412,"Wenyen Gabriel","PF","TOT",28,20
413,"Chimezie Metu","PF","SAS",16,20
414,"Alen Smailagic","PF","GSW",14,20
415,"Kadeem Allen","SG","NYK",10,19
416,"Thanasis Antetokounmpo","SF","MIL",18,19
417,"Michael Kidd-Gilchrist","PF-SF","TOT",21,19
418,"C.J. Miles","SG","WAS",10,19
419,"Jaylen Nowell","SG","MIN",15,19
420,"Norvel Pelle","C","PHI",20,18
421,"Derrick Walton","PG","TOT",26,18
422,"Keldon Johnson","SF","SAS",9,16
423,"Vincent Poirier","C","BOS",21,16
424,"Johnathan Williams","C","WAS",11,16
425,"Jaylen Hoard","SF","POR",13,15
426,"Tyson Chandler","C","HOU",26,14
427,"Ed Davis","C","UTA",25,14
428,"Mfiondu Kabengele","C","LAC",12,14
429,"Tyrone Wallace","SG","ATL",14,14
430,"Oshae Brissett","SF","TOR",19,13
431,"Amir Coffey","SG","LAC",13,13
432,"Adam Mokoka","SG","CHI",11,12
433,"Yuta Watanabe","SG","MEM",16,12
434,"Tremont Waters","PG","BOS",10,12
435,"Johnathan Motley","PF","LAC",13,11
436,"Jeremy Pargo","PG","GSW",3,11
437,"Dion Waiters","SG","MIA",3,10
438,"Zach Collins","PF","POR",3,9
439,"Tacko Fall","C","BOS",6,9
